Round,Name,Report_Count,Streaming_Stretch%,Streaming_Basic%,Streaming_Not%,XPost_Stretch%,XPost_Basic%,XPost_Not%,XI_Stretch%,XI_Basic%,XI_Not%,IRIAM_Followers_Diff,X_Followers_Diff,TotalLiveHour,TotalLiveNumOver30Min,FirstTimeVisitors,SecondTimeVisitors,Tier1_Fans
R2,Aelina,25,68.0,24.0,8.0,12.0,84.0,4.0,56.0,32.0,12.0,+108,+80,29.46,21,146,59,17
R2,Aisling Aoife,28,82.1,7.1,10.7,85.7,14.3,0.0,39.3,60.7,0.0,+76,+180,35.25,24,151,44,10
R2,Alwi Lilje,28,67.9,28.6,3.6,10.7,89.3,0.0,60.7,39.3,0.0,+41,+70,29.64,28,100,35,2
R2,Archimedes,27,88.9,11.1,0.0,18.5,81.5,0.0,3.7,96.3,0.0,+101,+95,41.37,33,179,50,12
R2,B.A.P.s,28,85.7,14.3,0.0,21.4,78.6,0.0,50.0,50.0,0.0,+84,+47,55.86,28,141,53,30
R2,Bibbi boo,23,100.0,0.0,0.0,26.1,73.9,0.0,47.8,47.8,4.3,+124,+74,52.14,27,246,77,10
R2,FruitFruit,19,15.8,84.2,0.0,0.0,89.5,10.5,0.0,89.5,10.5,+92,+66,63.36,42,229,95,24
R2,Kyudee Pai,28,100.0,0.0,0.0,0.0,100.0,0.0,25.0,75.0,0.0,+50,+25,50.41,24,97,28,10
R2,Leona Tamarin,16,87.5,6.2,6.2,12.5,62.5,25.0,0.0,18.8,81.2,+13,+26,28.01,16,51,9,3
R2,Lumé Lune,27,88.9,11.1,0.0,48.1,48.1,3.7,51.9,33.3,14.8,+62,+111,34.47,28,114,48,8
R2,Neith Nacha,5,80.0,20.0,0.0,0.0,80.0,20.0,0.0,80.0,20.0,+89,+34,36.53,20,143,52,14
R2,Nikki Gestalt,28,50.0,50.0,0.0,64.3,32.1,3.6,60.7,39.3,0.0,+40,+35,28.43,27,92,23,0
R2,Raze Rebell,26,61.5,30.8,7.7,100.0,0.0,0.0,61.5,38.5,0.0,+90,+111,36.31,25,151,55,11
R2,Saku,28,57.1,42.9,0.0,17.9,82.1,0.0,17.9,64.3,17.9,+94,+52,28.43,26,129,49,11
R2,Skylar,28,85.7,14.3,0.0,39.3,60.7,0.0,21.4,78.6,0.0,+45,+42,53.50,31,88,28,6
R2,Somnia Lightfell,28,53.6,46.4,0.0,17.9,82.1,0.0,14.3,82.1,3.6,+212,+86,75.21,25,386,120,21
R2,Verity,28,57.1,42.9,0.0,53.6,42.9,3.6,35.7,60.7,3.6,+56,+49,26.77,26,87,34,5
R2,Yamiko Rin,26,57.7,38.5,3.8,3.8,92.3,3.8,34.6,53.8,11.5,+58,+51,39.24,26,108,33,8
R2,comptbug,8,62.5,37.5,0.0,37.5,62.5,0.0,25.0,50.0,25.0,+101,+31,64.71,40,217,77,21
R3,AMUKA,26,69.2,30.8,0.0,50.0,50.0,0.0,19.2,76.9,3.8,+45,+17,33.21,29,119,28,11
R3,Bijou Beauregard,26,92.3,7.7,0.0,34.6,42.3,23.1,3.8,46.2,50.0,+140,+73,55.39,29,284,115,8
R3,Kazura,24,87.5,12.5,0.0,66.7,33.3,0.0,0.0,95.8,4.2,+151,+45,44.48,27,268,78,31
R3,Kimly stargazer,30,66.7,30.0,3.3,6.7,86.7,6.7,10.0,83.3,6.7,+49,+3,40.88,29,113,53,5
R3,Maphesdus,27,74.1,25.9,0.0,40.7,22.2,37.0,0.0,48.1,51.9,+68,+139,43.36,28,126,49,3
R3,Mixie Pheoborn,22,45.5,54.5,0.0,54.5,45.5,0.0,0.0,81.8,18.2,+24,+20,29.55,31,74,14,2
R3,Nessie O' Loch,23,60.9,30.4,8.7,34.8,60.9,4.3,0.0,65.2,34.8,+41,+18,31.82,26,98,21,5
R3,Orivyn Draemont,28,35.7,64.3,0.0,53.6,46.4,0.0,28.6,71.4,0.0,+25,+86,33.06,27,51,7,1
R3,PantherMoon06,28,75.0,25.0,0.0,3.6,96.4,0.0,10.7,89.3,0.0,+40,+9,47.00,28,107,36,7
R3,Pavonini Wattana,24,20.8,58.3,20.8,4.2,91.7,4.2,12.5,83.3,4.2,+38,+41,23.39,20,62,21,2
R3,Soul System,24,54.2,37.5,8.3,33.3,54.2,12.5,45.8,45.8,8.3,+36,+23,47.05,22,93,25,1
R3,Super Bandit,23,0.0,100.0,0.0,0.0,100.0,0.0,0.0,65.2,34.8,+88,+30,49.57,46,181,57,11
R3,VigsirVT,28,3.6,78.6,17.9,0.0,75.0,25.0,0.0,85.7,14.3,+103,+98,45.61,28,213,46,7
R3,Wing,28,46.4,42.9,10.7,0.0,96.4,3.6,3.6,82.1,14.3,+32,+22,25.90,25,99,37,15
R3,hoppiehoodie,26,65.4,34.6,0.0,69.2,30.8,0.0,3.8,92.3,3.8,+114,+137,58.98,32,275,85,9
R3,shinythanh,28,39.3,60.7,0.0,32.1,64.3,3.6,35.7,64.3,0.0,+38,+7,27.39,28,94,26,1
R3,yumi,23,78.3,21.7,0.0,8.7,91.3,0.0,34.8,65.2,0.0,+35,+22,31.38,27,83,23,3
